able@	能;有能力的
above@	上文的,前述的
adult@	成年的;成熟的;色情的
afraid@	害怕
all@	所有的;全部
alone@	單獨的;孤單的
angry@	生氣的
another@	另一個
any@	任何的
back@	後面的;拖欠的;過去的
bad@	壞的
basic@	基本的
beautiful@	漂亮的
best@	最好的;最熟練的;最適當的
better@	較佳的;更好的;更適當的
big@	大的
black@	黑色的
blue@	藍色的
born@	出生的;誕生的
both@	兩者
bottom@	最低的;最後的,最下的
brave@	勇敢的
bright@	光亮的
brown@	褐色的;棕色的
busy@	忙碌的
careful@	小心的
certain@	肯定的
chief@	為首的;主要的
clean@	乾淨的
clear@	清楚的;晴朗的
close@	近的;密切的
cold@	寒冷的
common@	常見的
cool@	涼快的;很棒的;酷
correct@	正確的
cute@	可愛的
dark@	黑暗的
dead@	死的
dear@	親愛的
deep@	深的
different@	不同的
difficult@	困難的
direct@	直接的
dirty@	骯髒的
down@	情緒低落,消沈;(分期付款的)第一期的
downstairs@	樓下的
dry@	乾的
each@	每個
early@	早的;提早的
east@	東方的
easy@	容易的
eight@	八的
eighteen@	十八的
eighty@	八十的
either@	兩者之一
eleven@	十一的
English@	英格蘭的;英國的;英國人的;英語的
enough@	足夠的
equal@	相等的; 平等的
even@	均勻的;偶數的;平手的
every@	每一個的
false@	假的
far@	遠的
fast@	快的
fat@	胖的
few@	少數的;一些
fifteen@	十五的
fifty@	五十的
final@	最終的
fine@	好的
first@	第一的
five@	五的
foreign@	外國的,陌生的,外來的
forty@	四十的
four@	四的
fourteen@	十四的
free@	空閒的;自由的;免費的
fresh@	新鮮的
front@	前面的;正面的
full@	飽的;滿的
funny@	可笑的;滑稽的
general@	普遍的
glad@	高興的
gold@	金製的
good@	好的
grand@	雄偉的;總的
gray@	灰色的
great@	很棒;大的
green@	綠色的
grey@	灰色的
half@	一半的,二分之一的;不完整的
happy@	快樂的
hard@	硬的;難的
heavy@	重的
high@	高的
home@	家庭的;國內的
hot@	熱的
huge@	巨大的
human@	人類的
hundred@	一百的
hungry@	飢餓的
important@	重要的
in@	在裡面的
inside@	裡面的,內側的;內幕的
iron@	鐵的;剛強的;殘酷的
just@	正直的;公平的;應得的;正確的
key@	重要的,基本的,關鍵的
kind@	仁慈的
large@	大的
last@	最後的
late@	晚的;遲的
lazy@	懶惰的
least@	最小的;最少的;最不重要的
left@	左邊的
less@	較少的
level@	水平的,平的;筆直的
light@	輕的
likely@	有可能的
little@	很少的
live@	活的,有生命的;燃著的;實況播送的
long@	長的
loud@	大聲的
low@	低的;矮的
lucky@	幸運的
mad@	發火;發瘋;發狂的
many@	很多的
mean@	兇的;吝嗇的
middle@	中間的
more@	更多的
most@	最多的;大部分的
much@	很多的
near@	近的
new@	新的
next@	下一個
nice@	好的
nine@	九的
nineteen@	十九的
ninety@	九十的
no@	沒有;不
noisy@	喧鬧的
north@	北方的
O.K.@	可以的;不錯的;很好的
off@	離去的;偏離的;休假的;關著的
OK@	好吧
okay@	對;可以;不錯
old@	年老的
one@	一個的
open@	打開的;空曠的;未定的;營業的;公開的
orange@	橙色的
other@	其他的
