abrupt@	突然的;意外的
absurd@	荒謬的;愚蠢的
abundant@	大量的;充足的; 豐富的
ace@	第一流的;突出的
adolescent@	青少年的;未成熟的
agricultural@	農業的
airtight@	密閉的;無懈可擊的
alien@	外國的;外國人的
allergic@	過敏的
alternate@	輪流的
ample@	大量的;充裕的
antique@	年代久遠的;古董的
apt@	易於...的;恰當的;聰明的
astray@	迷路的;離開正道的
barbarian@	野蠻(人)的
barefoot@	赤腳的
barren@	貧瘠的;荒蕪的;不妊的
bass@	低沈的;男低音的
beloved@	心愛的
beneficial@	有益的;有利的
blond@	白膚金髮碧眼的
blonde@	白膚金髮碧眼的
bodily@	肉體的;身體的;有形的
bronze@	青銅製的;青銅色的
carefree@	無憂無慮的;輕鬆愉快的
cautious@	十分小心的;謹慎的
centigrade@	攝氏的
chestnut@	栗色的
chubby@	圓胖的
civic@	城市的;市民的
clockwise@	順時針方向的;右旋的
colonial@	殖民地的;殖民的
commonplace@	平凡的;普通的
communist@	共產主義的
compact@	緊密的;結實的;小型的
compassionate@	有同情心的;慈悲的
compound@	合成的,複合的
considerate@	體諒的
constitutional@	憲法的;生來的
contagious@	接觸傳染的;(感情等)感染性的
contemporary@	當代的
continental@	洲的;大陸的
coral@	珊瑚的;珊瑚色的
corrupt@	腐敗的;貪污的
counterclockwise@	逆時針方向的
cowardly@	膽小的;懦怯的
cozy@	舒適的;愜意的
crystal@	水晶的
descriptive@	描寫的;描述性的
destructive@	破壞的;毀滅性的
distinctive@	有特色的;特殊的
downward@	向下的,下降的;日趨沒落的
dreadful@	可怕的
elaborate@	精心製作的;煞費苦心的,辛勤的
enthusiastic@	熱情的;熱烈的
erect@	豎起的
eternal@	永久的;永恆的
evergreen@	常綠的;常青的
exceptional@	例外的;異常的;特殊的
excess@	過量的;額外的
executive@	執行的;行政部門的
extensive@	廣大的;廣闊的
exterior@	外部的;外面的
external@	外面的;外來的
extinct@	(火等)熄滅了的;絕種的
extraordinary@	異常的;特別的
federal@	聯邦(制)的
feeble@	虛弱的;軟弱的
feminine@	女性的;女孩氣的;陰性的
forgetful@	健忘的
foul@	惡臭的;污濁的;惡劣的;犯規的
frantic@	(因喜悅或憤怒等)發狂似的
gay@	同性戀的
geographical@	地理學的;地理的
gorgeous@	燦爛的;華麗的;極好的
grim@	無情的;嚴厲的;恐怖的
gross@	總的;粗略的;令人噁心的
hardy@	能吃苦耐勞的;(植物等)耐寒的
hearty@	衷心的;健壯的;豐盛的
heavenly@	天堂般的
heroic@	英雄的;英勇的
heterosexual@	異性戀的
hoarse@	(嗓音)嘶啞的
homosexual@	同性戀的
horizontal@	水平的;橫的
hostile@	敵方的;懷敵意的
immense@	巨大的;廣大的
imperial@	帝國的
indifferent@	不感興趣的;中立的;無關緊要的
indignant@	憤怒的;憤慨的
indispensable@	必不可少的;必需的
infinite@	無限的
initiate@	新加入的
inland@	內地的;內陸的
innumerable@	無數的
intent@	專注的;熱切的;堅決要做的
interior@	內的;內部的
inward@	裡面的,內部的;內心的;向內的
jolly@	快活的,高興的
juvenile@	少年的;孩子氣的;幼年的
kin@	有親屬關係的;同類的;類似的
knowledgeable@	博學的;有見識的
lame@	跛腳的;站不住腳的
lifelong@	終身的;一輩子的
locomotive@	活動的;移動的;火車頭的
lofty@	高聳的;極高的;高傲的
lonesome@	寂寞的;孤單的;荒涼的
maiden@	未婚的;少女的;初次的
majestic@	雄偉的;威嚴的;崇高的
manifest@	顯然的;清楚的
marginal@	頁邊的;邊緣的;不重要的
marine@	海的;海生的;海軍陸戰隊的
martial@	戰爭的;軍事的;尚武的
masculine@	男性的;男子氣概的
massive@	厚實的;粗大的;大量的
migrant@	移居(尤指移出國境)的;流浪的
minimal@	最小的;極微的
mock@	假的;假裝的;模擬的
monstrous@	怪異的;駭人聽聞的;巨大的
mortal@	會死的;凡人的;致命的;極度的
muscular@	肌肉的;健壯的
naive@	天真的;幼稚的;輕信的
nasty@	齷齪的;卑鄙的;難處理的
nonviolent@	非暴力的
notable@	值得注意的;顯著的
noticeable@	顯而易見的;顯著的
nude@	裸的;與生俱有的
oblong@	橢圓形的
obstinate@	頑固的;頑強的
olive@	橄欖的;橄欖色的
oriental@	(珍珠等)光輝奪目的;優質的
outgoing@	直率的;往外的;即將離職的;友善的
outward@	向外的;往外去的
overall@	總的,全部的,全面的
pacific@	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的
parallel@	平行的,同方向的
passionate@	熱情的;激昂的
patent@	專利的
permissible@	可允許的
poetic@	詩的;韻文的
polar@	北極的;南極的;截然對立的
potential@	潛在的,可能的
prehistoric@	史前的;舊式的
priceless@	無價的;稀世之珍的
prior@	在先的;在前的;居先的
ragged@	破爛的;不整潔的;參差不齊的
rear@	後面的,背後的
reckless@	不在乎的;魯莽的
reptile@	爬行動物(似)的
republican@	共和政體的
resident@	居住的,定居的;常駐的
reverse@	顛倒的;相反的;反向的
ridiculous@	可笑的,荒謬的;滑稽的
rigid@	堅硬的;嚴格的;死板的
robust@	強健的;健全的;結實的
rugged@	高低不平的;粗糙的;粗線條的
sacred@	神的;神聖的
salmon@	鮭肉色的,淺澄色的
savage@	野性的;兇猛的;殘酷的
secure@	安全的牢固的
shabby@	破爛的;破舊的;邋遢的
sloppy@	懶散的;草率的
sly@	狡猾的
sober@	清醒的;沒喝醉的;嚴肅的
sole@	單獨的;唯一的
